position,driverNumber,driverId,constructorId,engineManufacturerId,tyreManufacturerId,time,gap,interval,laps,year,race
20,31,gerhard-berger,ats-wheels,bmw,pirelli,1:31.904,+5.731,+0.249,,1984,austria
20,31,gerhard-berger,ats-wheels,bmw,pirelli,1:31.549,+4.965,+0.207,,1984,italy
18,31,gerhard-berger,ats-wheels,bmw,pirelli,1:23.116,+4.245,+0.082,,1984,europe
23,14,gerhard-berger,ats-wheels,bmw,pirelli,1:28.106,+6.403,+1.266,,1984,portugal
19,17,gerhard-berger,arrows,bmw,goodyear,1:34.773,+7.005,+1.682,,1985,brazil
17,17,gerhard-berger,arrows,bmw,goodyear,1:24.842,+3.835,+0.095,,1985,portugal
10,17,gerhard-berger,arrows,bmw,goodyear,1:28.697,+1.370,+0.208,,1985,san-marino
11,17,gerhard-berger,arrows,bmw,goodyear,1:21.665,+1.215,+0.134,,1985,monaco
12,17,gerhard-berger,arrows,bmw,goodyear,1:26.743,+2.176,+0.389,,1985,canada
24,17,gerhard-berger,arrows,bmw,goodyear,2:05.307,+23.256,+14.852,,1985,detroit
9,17,gerhard-berger,arrows,bmw,goodyear,1:34.674,+2.212,+0.483,,1985,france
17,17,gerhard-berger,arrows,bmw,goodyear,1:08.672,+3.081,+0.016,,1985,great-britain
17,17,gerhard-berger,arrows,bmw,goodyear,1:20.666,+3.237,+0.749,,1985,germany
17,17,gerhard-berger,arrows,bmw,goodyear,1:28.566,+3.076,+0.304,,1985,austria
14,17,gerhard-berger,arrows,bmw,goodyear,1:13.680,+2.606,+0.245,,1985,netherlands
11,17,gerhard-berger,arrows,bmw,goodyear,1:27.723,+2.639,+0.250,,1985,italy
8,17,gerhard-berger,arrows,bmw,goodyear,1:56.770,+1.464,+0.043,,1985,belgium
19,17,gerhard-berger,arrows,bmw,goodyear,1:11.608,+4.439,+0.108,,1985,europe
11,17,gerhard-berger,arrows,bmw,goodyear,1:04.780,+2.414,+0.262,,1985,south-africa
7,17,gerhard-berger,arrows,bmw,goodyear,1:22.592,+2.749,+0.031,,1985,australia
16,20,gerhard-berger,benetton,bmw,pirelli,1:31.313,+5.812,+0.069,,1986,brazil
7,20,gerhard-berger,benetton,bmw,pirelli,1:24.501,+2.896,+0.227,,1986,spain
9,20,gerhard-berger,benetton,bmw,pirelli,1:27.444,+2.394,+0.041,,1986,san-marino
5,20,gerhard-berger,benetton,bmw,pirelli,1:23.960,+1.333,+0.056,,1986,monaco
2,20,gerhard-berger,benetton,bmw,pirelli,1:54.468,+0.137,+0.137,,1986,belgium
7,20,gerhard-berger,benetton,bmw,pirelli,1:26.439,+2.321,+0.906,,1986,canada
12,20,gerhard-berger,benetton,bmw,pirelli,1:41.836,+3.535,+0.230,,1986,detroit
8,20,gerhard-berger,benetton,bmw,pirelli,1:07.554,+1.028,+0.009,,1986,france
4,20,gerhard-berger,benetton,bmw,pirelli,1:08.196,+1.235,+0.672,,1986,great-britain
4,20,gerhard-berger,benetton,bmw,pirelli,1:42.541,+0.528,+0.212,,1986,germany
11,20,gerhard-berger,benetton,bmw,pirelli,1:32.491,+3.041,+0.090,,1986,hungary
2,20,gerhard-berger,benetton,bmw,pirelli,1:23.743,+0.194,+0.194,,1986,austria
