position,driverNumber,driverId,constructorId,engineManufacturerId,tyreManufacturerId,time,gap,interval,laps,year,race
19,34,johnny-cecotto,theodore,ford,goodyear,1:38.378,+3.852,+0.144,,1983,brazil
17,34,johnny-cecotto,theodore,ford,goodyear,1:29.559,+3.442,+0.038,,1983,united-states-west
17,34,johnny-cecotto,theodore,ford,goodyear,1:42.615,+5.943,+0.165,,1983,france
23,34,johnny-cecotto,theodore,ford,goodyear,1:36.638,+5.400,+0.279,,1983,san-marino
4,34,johnny-cecotto,theodore,ford,goodyear,1:33.817,+1.627,+0.364,,1983,monaco
25,34,johnny-cecotto,theodore,ford,goodyear,2:11.860,+7.245,+0.126,,1983,belgium
26,34,johnny-cecotto,theodore,ford,goodyear,1:51.709,+6.975,+1.793,,1983,detroit
23,34,johnny-cecotto,theodore,ford,goodyear,1:34.314,+5.585,+0.523,,1983,canada
27,34,johnny-cecotto,theodore,ford,goodyear,1:16.714,+7.252,+0.170,,1983,great-britain
22,34,johnny-cecotto,theodore,ford,goodyear,1:57.744,+8.416,+0.318,,1983,germany
28,34,johnny-cecotto,theodore,ford,goodyear,1:37.497,+7.626,+0.097,,1983,austria
28,34,johnny-cecotto,theodore,ford,goodyear,1:20.955,+5.325,+0.029,,1983,netherlands
26,34,johnny-cecotto,theodore,ford,goodyear,1:37.105,+7.983,+0.271,,1983,italy
17,20,johnny-cecotto,toleman,hart,pirelli,1:35.300,+6.908,+1.775,,1984,brazil
19,20,johnny-cecotto,toleman,hart,pirelli,1:08.298,+3.427,+0.256,,1984,south-africa
16,20,johnny-cecotto,toleman,hart,pirelli,1:18.321,+3.475,+0.196,,1984,belgium
19,20,johnny-cecotto,toleman,hart,pirelli,1:35.568,+7.051,+1.091,,1984,san-marino
19,20,johnny-cecotto,toleman,hart,michelin,1:08.189,+5.989,+1.819,,1984,france
18,20,johnny-cecotto,toleman,hart,michelin,1:25.872,+3.211,+0.057,,1984,monaco
20,20,johnny-cecotto,toleman,hart,michelin,1:31.459,+6.017,+0.541,,1984,canada
15,20,johnny-cecotto,toleman,hart,michelin,1:45.231,+4.251,+0.483,,1984,detroit
15,20,johnny-cecotto,toleman,hart,michelin,1:40.027,+2.986,+0.116,,1984,dallas
