position,driverNumber,driverId,constructorId,engineManufacturerId,tyreManufacturerId,time,gap,interval,laps,year,race
24,43,nigel-mansell,lotus,ford,goodyear,1:35.710,+5.440,+0.040,,1980,austria
16,43,nigel-mansell,lotus,ford,goodyear,1:18.970,+1.530,+0.030,,1980,netherlands
25,43,nigel-mansell,lotus,ford,goodyear,1:37.661,+3.673,+0.377,,1980,italy
7,12,nigel-mansell,lotus,ford,michelin,1:20.573,+1.174,+0.097,,1981,united-states-west
13,12,nigel-mansell,lotus,ford,michelin,1:38.003,+2.924,+0.022,,1981,brazil
15,12,nigel-mansell,lotus,ford,michelin,1:45.369,+2.704,+0.072,,1981,argentina
10,12,nigel-mansell,lotus,ford,michelin,1:24.440,+2.160,+0.030,,1981,belgium
3,12,nigel-mansell,lotus,ford,michelin,1:25.815,+0.105,+0.027,,1981,monaco
11,12,nigel-mansell,lotus,ford,michelin,1:15.562,+1.808,+0.163,,1981,spain
13,12,nigel-mansell,lotus,ford,michelin,1:07.720,+1.770,+0.090,,1981,france
27,12,nigel-mansell,lotus,ford,goodyear,1:16.432,+5.432,+0.044,,1981,great-britain
15,12,nigel-mansell,lotus,ford,goodyear,1:50.860,+3.360,+0.120,,1981,germany
11,12,nigel-mansell,lotus,ford,goodyear,1:35.569,+3.551,+0.127,,1981,austria
17,12,nigel-mansell,lotus,ford,goodyear,1:20.663,+2.487,+0.068,,1981,netherlands
12,12,nigel-mansell,lotus,ford,goodyear,1:36.210,+2.743,+0.052,,1981,italy
5,12,nigel-mansell,lotus,ford,goodyear,1:29.997,+0.786,+0.089,,1981,canada
9,12,nigel-mansell,lotus,ford,goodyear,1:19.044,+1.223,+0.252,,1981,caesars-palace
18,12,nigel-mansell,lotus,ford,goodyear,1:11.227,+4.876,+0.222,,1982,south-africa
14,12,nigel-mansell,lotus,ford,goodyear,1:32.228,+3.420,+0.237,,1982,brazil
17,12,nigel-mansell,lotus,ford,goodyear,1:29.758,+2.442,+0.064,,1982,united-states-west
9,12,nigel-mansell,lotus,ford,goodyear,1:16.944,+1.243,+0.328,,1982,belgium
11,12,nigel-mansell,lotus,ford,goodyear,1:25.642,+2.361,+0.059,,1982,monaco
7,12,nigel-mansell,lotus,ford,goodyear,1:50.294,+1.757,+0.042,,1982,detroit
14,12,nigel-mansell,lotus,ford,goodyear,1:30.048,+2.539,+0.165,,1982,canada
23,12,nigel-mansell,lotus,ford,goodyear,1:13.212,+3.672,+0.031,,1982,great-britain
19,12,nigel-mansell,lotus,ford,goodyear,1:55.866,+7.919,+0.392,,1982,germany
