position,driverNumber,driverId,constructorId,engineManufacturerId,tyreManufacturerId,time,gap,interval,laps,year,race
12,11,satoru-nakajima,lotus,honda,goodyear,1:32.276,+6.148,+1.097,,1987,brazil
13,11,satoru-nakajima,lotus,honda,goodyear,1:29.579,+3.753,+0.671,,1987,san-marino
15,11,satoru-nakajima,lotus,honda,goodyear,1:58.649,+6.623,+0.517,,1987,belgium
17,11,satoru-nakajima,lotus,honda,goodyear,1:28.890,+5.851,+0.657,,1987,monaco
24,11,satoru-nakajima,lotus,honda,goodyear,1:48.801,+9.537,+1.330,,1987,detroit
16,11,satoru-nakajima,lotus,honda,goodyear,1:10.652,+4.198,+0.784,,1987,france
12,11,satoru-nakajima,lotus,honda,goodyear,1:10.619,+3.509,+0.607,,1987,great-britain
14,11,satoru-nakajima,lotus,honda,goodyear,1:46.760,+4.144,+0.235,,1987,germany
17,11,satoru-nakajima,lotus,honda,goodyear,1:34.297,+6.250,+0.402,,1987,hungary
13,11,satoru-nakajima,lotus,honda,goodyear,1:28.786,+5.429,+0.416,,1987,austria
14,11,satoru-nakajima,lotus,honda,goodyear,1:28.160,+4.700,+0.138,,1987,italy
15,11,satoru-nakajima,lotus,honda,goodyear,1:22.222,+4.602,+0.438,,1987,portugal
18,11,satoru-nakajima,lotus,honda,goodyear,1:28.367,+5.906,+0.006,,1987,spain
16,11,satoru-nakajima,lotus,honda,goodyear,1:22.214,+3.831,+0.029,,1987,mexico
12,11,satoru-nakajima,lotus,honda,goodyear,1:43.685,+3.643,+0.067,,1987,japan
14,11,satoru-nakajima,lotus,honda,goodyear,1:20.891,+3.624,+0.190,,1987,australia
10,2,satoru-nakajima,lotus,honda,goodyear,1:31.280,+3.184,+0.351,,1988,brazil
12,2,satoru-nakajima,lotus,honda,goodyear,1:31.647,+4.499,+0.012,,1988,san-marino
27,2,satoru-nakajima,lotus,honda,goodyear,1:30.611,+6.613,+0.106,,1988,monaco
6,2,satoru-nakajima,lotus,honda,goodyear,1:20.275,+2.807,+0.649,,1988,mexico
13,2,satoru-nakajima,lotus,honda,goodyear,1:25.373,+3.692,+0.385,,1988,canada
28,2,satoru-nakajima,lotus,honda,goodyear,1:47.243,+6.637,+0.620,,1988,detroit
8,2,satoru-nakajima,lotus,honda,goodyear,1:10.250,+2.661,+0.516,,1988,france
10,2,satoru-nakajima,lotus,honda,goodyear,1:12.862,+2.729,+0.019,,1988,great-britain
8,2,satoru-nakajima,lotus,honda,goodyear,1:48.781,+4.185,+0.078,,1988,germany
19,2,satoru-nakajima,lotus,honda,goodyear,1:31.646,+4.011,+0.123,,1988,hungary
8,2,satoru-nakajima,lotus,honda,goodyear,1:57.616,+3.898,+0.081,,1988,belgium
12,2,satoru-nakajima,lotus,honda,goodyear,1:29.541,+3.567,+0.028,,1988,italy
16,2,satoru-nakajima,lotus,honda,goodyear,1:20.783,+3.372,+0.035,,1988,portugal
15,2,satoru-nakajima,lotus,honda,goodyear,1:27.171,+3.104,+0.159,,1988,spain
6,2,satoru-nakajima,lotus,honda,goodyear,1:43.693,+1.840,+0.000,,1988,japan
13,2,satoru-nakajima,lotus,honda,goodyear,1:20.852,+3.104,+0.008,,1988,australia
21,12,satoru-nakajima,lotus,judd,goodyear,1:30.375,+5.073,+0.120,,1989,brazil
24,12,satoru-nakajima,lotus,judd,goodyear,1:30.697,+4.687,+0.350,,1989,san-marino
29,12,satoru-nakajima,lotus,judd,goodyear,1:28.419,+6.111,+0.473,,1989,monaco
15,12,satoru-nakajima,lotus,judd,goodyear,1:20.943,+3.067,+0.055,,1989,mexico
23,12,satoru-nakajima,lotus,judd,goodyear,1:33.782,+3.674,+0.037,,1989,united-states
27,12,satoru-nakajima,lotus,judd,goodyear,1:25.051,+4.078,+0.014,,1989,canada
19,12,satoru-nakajima,lotus,judd,goodyear,1:10.119,+2.916,+0.042,,1989,france
16,12,satoru-nakajima,lotus,judd,goodyear,1:11.960,+2.861,+0.134,,1989,great-britain
18,12,satoru-nakajima,lotus,judd,goodyear,1:47.663,+5.363,+0.130,,1989,germany
20,12,satoru-nakajima,lotus,judd,goodyear,1:22.630,+2.904,+0.052,,1989,hungary
27,12,satoru-nakajima,lotus,judd,goodyear,1:57.251,+6.384,+0.224,,1989,belgium
19,12,satoru-nakajima,lotus,judd,goodyear,1:28.441,+4.721,+0.011,,1989,italy
25,12,satoru-nakajima,lotus,judd,goodyear,1:19.165,+3.697,+0.380,,1989,portugal
18,12,satoru-nakajima,lotus,judd,goodyear,1:23.309,+3.018,+0.066,,1989,spain
12,12,satoru-nakajima,lotus,judd,goodyear,1:41.988,+3.947,+0.186,,1989,japan
23,12,satoru-nakajima,lotus,judd,goodyear,1:20.066,+3.401,+0.144,,1989,australia
11,3,satoru-nakajima,tyrrell,ford,pirelli,1:30.130,+1.466,+0.003,,1990,united-states
19,3,satoru-nakajima,tyrrell,ford,pirelli,1:20.568,+3.291,+0.011,,1990,brazil
19,3,satoru-nakajima,tyrrell,ford,pirelli,1:27.532,+4.312,+0.011,,1990,san-marino
21,3,satoru-nakajima,tyrrell,ford,pirelli,1:24.371,+3.057,+0.004,,1990,monaco
13,3,satoru-nakajima,tyrrell,ford,pirelli,1:23.605,+3.206,+0.902,,1990,canada
9,3,satoru-nakajima,tyrrell,ford,pirelli,1:18.575,+1.348,+0.014,,1990,mexico
15,3,satoru-nakajima,tyrrell,ford,pirelli,1:06.563,+2.161,+0.463,,1990,france
12,3,satoru-nakajima,tyrrell,ford,pirelli,1:09.608,+2.180,+0.201,,1990,great-britain
13,3,satoru-nakajima,tyrrell,ford,pirelli,1:44.650,+4.452,+0.154,,1990,germany
15,3,satoru-nakajima,tyrrell,ford,pirelli,1:20.202,+2.283,+0.005,,1990,hungary
10,3,satoru-nakajima,tyrrell,ford,pirelli,1:53.468,+3.103,+0.583,,1990,belgium
14,3,satoru-nakajima,tyrrell,ford,pirelli,1:26.081,+3.548,+0.154,,1990,italy
20,3,satoru-nakajima,tyrrell,ford,pirelli,1:17.097,+3.540,+0.016,,1990,portugal
14,3,satoru-nakajima,tyrrell,ford,pirelli,1:21.215,+2.828,+0.045,,1990,spain
14,3,satoru-nakajima,tyrrell,ford,pirelli,1:41.078,+4.082,+0.045,,1990,japan
13,3,satoru-nakajima,tyrrell,ford,pirelli,1:18.738,+3.067,+0.008,,1990,australia
16,3,satoru-nakajima,tyrrell,honda,pirelli,1:25.752,+4.318,+0.037,,1991,united-states
16,3,satoru-nakajima,tyrrell,honda,pirelli,1:19.546,+3.154,+0.029,,1991,brazil
10,3,satoru-nakajima,tyrrell,honda,pirelli,1:25.345,+3.468,+0.538,,1991,san-marino
11,3,satoru-nakajima,tyrrell,honda,pirelli,1:22.972,+2.628,+0.208,,1991,monaco
12,3,satoru-nakajima,tyrrell,honda,pirelli,1:22.262,+2.425,+0.108,,1991,canada
13,3,satoru-nakajima,tyrrell,honda,pirelli,1:19.092,+2.396,+0.028,,1991,mexico
18,3,satoru-nakajima,tyrrell,honda,pirelli,1:18.144,+3.585,+0.308,,1991,france
15,3,satoru-nakajima,tyrrell,honda,pirelli,1:24.560,+3.621,+0.215,,1991,great-britain
13,3,satoru-nakajima,tyrrell,honda,pirelli,1:41.390,+4.303,+0.060,,1991,germany
