position,driverNumber,driverId,constructorId,engineManufacturerId,tyreManufacturerId,time,gap,interval,laps,year,race
27,17,stefan-johansson,shadow,ford,goodyear,1:51.570,+7.400,+0.180,,1980,argentina
27,17,stefan-johansson,shadow,ford,goodyear,2:31.480,+10.080,+0.960,,1980,brazil
14,40,stefan-johansson,spirit,honda,goodyear,1:13.962,+4.500,+0.207,,1983,great-britain
13,40,stefan-johansson,spirit,honda,goodyear,1:55.870,+6.542,+0.581,,1983,germany
16,40,stefan-johansson,spirit,honda,goodyear,1:35.892,+6.021,+0.512,,1983,austria
16,40,stefan-johansson,spirit,honda,goodyear,1:19.966,+4.336,+0.179,,1983,netherlands
17,40,stefan-johansson,spirit,honda,goodyear,1:35.483,+6.361,+0.192,,1983,italy
19,40,stefan-johansson,spirit,honda,goodyear,1:15.912,+3.820,+0.484,,1983,europe
26,20,stefan-johansson,toleman,hart,michelin,1:41.178,+22.307,+10.919,,1984,europe
10,20,stefan-johansson,toleman,hart,michelin,1:22.942,+1.239,+0.141,,1984,portugal
23,4,stefan-johansson,tyrrell,ford,goodyear,1:37.293,+9.525,+0.550,,1985,brazil
11,28,stefan-johansson,ferrari,ferrari,goodyear,1:23.652,+2.645,+0.034,,1985,portugal
15,28,stefan-johansson,ferrari,ferrari,goodyear,1:29.806,+2.479,+0.340,,1985,san-marino
15,28,stefan-johansson,ferrari,ferrari,goodyear,1:22.635,+2.185,+0.728,,1985,monaco
4,28,stefan-johansson,ferrari,ferrari,goodyear,1:25.170,+0.603,+0.043,,1985,canada
9,28,stefan-johansson,ferrari,ferrari,goodyear,1:44.921,+2.870,+0.152,,1985,detroit
16,28,stefan-johansson,ferrari,ferrari,goodyear,1:36.140,+3.678,+0.007,,1985,france
11,28,stefan-johansson,ferrari,ferrari,goodyear,1:07.887,+2.296,+0.144,,1985,great-britain
2,28,stefan-johansson,ferrari,ferrari,goodyear,1:18.616,+1.187,+1.187,,1985,germany
12,28,stefan-johansson,ferrari,ferrari,goodyear,1:27.961,+2.471,+0.007,,1985,austria
17,28,stefan-johansson,ferrari,ferrari,goodyear,1:13.768,+2.694,+0.043,,1985,netherlands
