position,driverNumber,driverId,constructorId,engineManufacturerId,tyreManufacturerId,time,gap,interval,laps,year,race
3,11,alain-prost,mclaren,honda,goodyear,1:28.782,+0.686,+0.150,,1988,brazil
2,11,alain-prost,mclaren,honda,goodyear,1:27.919,+0.771,+0.771,,1988,san-marino
2,11,alain-prost,mclaren,honda,goodyear,1:25.425,+1.427,+1.427,,1988,monaco
2,11,alain-prost,mclaren,honda,goodyear,1:18.097,+0.629,+0.629,,1988,mexico
2,11,alain-prost,mclaren,honda,goodyear,1:21.863,+0.182,+0.182,,1988,canada
4,11,alain-prost,mclaren,honda,goodyear,1:42.019,+1.413,+0.319,,1988,detroit
1,11,alain-prost,mclaren,honda,goodyear,1:07.589,,,,1988,france
4,11,alain-prost,mclaren,honda,goodyear,1:10.736,+0.603,+0.120,,1988,great-britain
2,11,alain-prost,mclaren,honda,goodyear,1:44.873,+0.277,+0.277,,1988,germany
7,11,alain-prost,mclaren,honda,goodyear,1:28.778,+1.143,+0.209,,1988,hungary
2,11,alain-prost,mclaren,honda,goodyear,1:54.128,+0.410,+0.410,,1988,belgium
2,11,alain-prost,mclaren,honda,goodyear,1:26.277,+0.303,+0.303,,1988,italy
1,11,alain-prost,mclaren,honda,goodyear,1:17.411,,,,1988,portugal
2,11,alain-prost,mclaren,honda,goodyear,1:24.134,+0.067,+0.067,,1988,spain
2,11,alain-prost,mclaren,honda,goodyear,1:42.177,+0.324,+0.324,,1988,japan
2,11,alain-prost,mclaren,honda,goodyear,1:17.880,+0.132,+0.132,,1988,australia
5,2,alain-prost,mclaren,honda,goodyear,1:26.620,+1.318,+0.161,,1989,brazil
2,2,alain-prost,mclaren,honda,goodyear,1:26.235,+0.225,+0.225,,1989,san-marino
2,2,alain-prost,mclaren,honda,goodyear,1:23.456,+1.148,+1.148,,1989,monaco
2,2,alain-prost,mclaren,honda,goodyear,1:18.773,+0.897,+0.897,,1989,mexico
2,2,alain-prost,mclaren,honda,goodyear,1:31.517,+1.409,+1.409,,1989,united-states
1,2,alain-prost,mclaren,honda,goodyear,1:20.973,,,,1989,canada
1,2,alain-prost,mclaren,honda,goodyear,1:07.203,,,,1989,france
2,2,alain-prost,mclaren,honda,goodyear,1:09.266,+0.167,+0.167,,1989,great-britain
2,2,alain-prost,mclaren,honda,goodyear,1:43.295,+0.995,+0.995,,1989,germany
5,2,alain-prost,mclaren,honda,goodyear,1:21.076,+1.350,+0.075,,1989,hungary
2,2,alain-prost,mclaren,honda,goodyear,1:51.463,+0.596,+0.596,,1989,belgium
4,2,alain-prost,mclaren,honda,goodyear,1:25.510,+1.790,+0.771,,1989,italy
4,2,alain-prost,mclaren,honda,goodyear,1:16.204,+0.736,+0.011,,1989,portugal
3,2,alain-prost,mclaren,honda,goodyear,1:21.368,+1.077,+0.803,,1989,spain
2,2,alain-prost,mclaren,honda,goodyear,1:39.771,+1.730,+1.730,,1989,japan
2,2,alain-prost,mclaren,honda,goodyear,1:17.403,+0.738,+0.738,,1989,australia
7,1,alain-prost,ferrari,ferrari,goodyear,1:29.910,+1.246,+0.048,,1990,united-states
6,1,alain-prost,ferrari,ferrari,goodyear,1:18.631,+1.354,+0.122,,1990,brazil
6,1,alain-prost,ferrari,ferrari,goodyear,1:25.179,+1.959,+0.084,,1990,san-marino
2,1,alain-prost,ferrari,ferrari,goodyear,1:21.776,+0.462,+0.462,,1990,monaco
3,1,alain-prost,ferrari,ferrari,goodyear,1:20.826,+0.427,+0.361,,1990,canada
13,1,alain-prost,ferrari,ferrari,goodyear,1:19.026,+1.799,+0.032,,1990,mexico
4,1,alain-prost,ferrari,ferrari,goodyear,1:04.781,+0.379,+0.232,,1990,france
5,1,alain-prost,ferrari,ferrari,goodyear,1:08.336,+0.908,+0.045,,1990,great-britain
3,1,alain-prost,ferrari,ferrari,goodyear,1:41.732,+1.534,+1.298,,1990,germany
8,1,alain-prost,ferrari,ferrari,goodyear,1:19.029,+1.110,+0.128,,1990,hungary
3,1,alain-prost,ferrari,ferrari,goodyear,1:51.043,+0.678,+0.095,,1990,belgium
2,1,alain-prost,ferrari,ferrari,goodyear,1:22.935,+0.402,+0.402,,1990,italy
2,1,alain-prost,ferrari,ferrari,goodyear,1:13.595,+0.038,+0.038,,1990,portugal
2,1,alain-prost,ferrari,ferrari,goodyear,1:18.824,+0.437,+0.437,,1990,spain
2,1,alain-prost,ferrari,ferrari,goodyear,1:37.228,+0.232,+0.232,,1990,japan
4,1,alain-prost,ferrari,ferrari,goodyear,1:16.365,+0.694,+0.013,,1990,australia
2,27,alain-prost,ferrari,ferrari,goodyear,1:22.555,+1.121,+1.121,,1991,united-states
6,27,alain-prost,ferrari,ferrari,goodyear,1:17.739,+1.347,+0.138,,1991,brazil
3,27,alain-prost,ferrari,ferrari,goodyear,1:22.195,+0.318,+0.238,,1991,san-marino
7,27,alain-prost,ferrari,ferrari,goodyear,1:21.455,+1.111,+0.233,,1991,monaco
4,27,alain-prost,ferrari,ferrari,goodyear,1:20.656,+0.819,+0.338,,1991,canada
7,27,alain-prost,ferrari,ferrari,goodyear,1:18.183,+1.487,+0.015,,1991,mexico
2,27,alain-prost,ferrari,ferrari,goodyear,1:14.789,+0.230,+0.230,,1991,france
5,27,alain-prost,ferrari,ferrari,goodyear,1:22.478,+1.539,+0.002,,1991,great-britain
5,27,alain-prost,ferrari,ferrari,goodyear,1:39.034,+1.947,+1.599,,1991,germany
4,27,alain-prost,ferrari,ferrari,goodyear,1:17.690,+1.543,+0.301,,1991,hungary
3,27,alain-prost,ferrari,ferrari,goodyear,1:48.821,+1.010,+0.160,,1991,belgium
5,27,alain-prost,ferrari,ferrari,goodyear,1:21.825,+0.711,+0.453,,1991,italy
5,27,alain-prost,ferrari,ferrari,goodyear,1:14.352,+1.351,+0.685,,1991,portugal
6,27,alain-prost,ferrari,ferrari,goodyear,1:19.936,+1.185,+0.203,,1991,spain
