position,driverNumber,driverId,constructorId,engineManufacturerId,tyreManufacturerId,time,gap,interval,laps,year,race
1,12,ayrton-senna,mclaren,honda,goodyear,1:28.096,,,,1988,brazil
1,12,ayrton-senna,mclaren,honda,goodyear,1:27.148,,,,1988,san-marino
1,12,ayrton-senna,mclaren,honda,goodyear,1:23.998,,,,1988,monaco
1,12,ayrton-senna,mclaren,honda,goodyear,1:17.468,,,,1988,mexico
1,12,ayrton-senna,mclaren,honda,goodyear,1:21.681,,,,1988,canada
1,12,ayrton-senna,mclaren,honda,goodyear,1:40.606,,,,1988,detroit
2,12,ayrton-senna,mclaren,honda,goodyear,1:08.067,+0.478,+0.478,,1988,france
3,12,ayrton-senna,mclaren,honda,goodyear,1:10.616,+0.483,+0.284,,1988,great-britain
1,12,ayrton-senna,mclaren,honda,goodyear,1:44.596,,,,1988,germany
1,12,ayrton-senna,mclaren,honda,goodyear,1:27.635,,,,1988,hungary
1,12,ayrton-senna,mclaren,honda,goodyear,1:53.718,,,,1988,belgium
1,12,ayrton-senna,mclaren,honda,goodyear,1:25.974,,,,1988,italy
2,12,ayrton-senna,mclaren,honda,goodyear,1:17.869,+0.458,+0.458,,1988,portugal
1,12,ayrton-senna,mclaren,honda,goodyear,1:24.067,,,,1988,spain
1,12,ayrton-senna,mclaren,honda,goodyear,1:41.853,,,,1988,japan
1,12,ayrton-senna,mclaren,honda,goodyear,1:17.748,,,,1988,australia
1,1,ayrton-senna,mclaren,honda,goodyear,1:25.302,,,,1989,brazil
1,1,ayrton-senna,mclaren,honda,goodyear,1:26.010,,,,1989,san-marino
1,1,ayrton-senna,mclaren,honda,goodyear,1:22.308,,,,1989,monaco
1,1,ayrton-senna,mclaren,honda,goodyear,1:17.876,,,,1989,mexico
1,1,ayrton-senna,mclaren,honda,goodyear,1:30.108,,,,1989,united-states
2,1,ayrton-senna,mclaren,honda,goodyear,1:21.049,+0.076,+0.076,,1989,canada
2,1,ayrton-senna,mclaren,honda,goodyear,1:07.228,+0.025,+0.025,,1989,france
1,1,ayrton-senna,mclaren,honda,goodyear,1:09.099,,,,1989,great-britain
1,1,ayrton-senna,mclaren,honda,goodyear,1:42.300,,,,1989,germany
2,1,ayrton-senna,mclaren,honda,goodyear,1:20.039,+0.313,+0.313,,1989,hungary
1,1,ayrton-senna,mclaren,honda,goodyear,1:50.867,,,,1989,belgium
1,1,ayrton-senna,mclaren,honda,goodyear,1:23.720,,,,1989,italy
1,1,ayrton-senna,mclaren,honda,goodyear,1:15.468,,,,1989,portugal
1,1,ayrton-senna,mclaren,honda,goodyear,1:20.291,,,,1989,spain
1,1,ayrton-senna,mclaren,honda,goodyear,1:38.041,,,,1989,japan
1,1,ayrton-senna,mclaren,honda,goodyear,1:16.665,,,,1989,australia
5,27,ayrton-senna,mclaren,honda,goodyear,1:29.431,+0.767,+0.023,,1990,united-states
1,27,ayrton-senna,mclaren,honda,goodyear,1:17.277,,,,1990,brazil
1,27,ayrton-senna,mclaren,honda,goodyear,1:23.220,,,,1990,san-marino
