position,driverNumber,driverId,constructorId,engineManufacturerId,tyreManufacturerId,time,gap,interval,laps,year,race
16,18,elio-de-angelis,shadow,ford,goodyear,1:48.510,+4.310,+0.070,,1979,argentina
20,18,elio-de-angelis,shadow,ford,goodyear,2:30.290,+7.220,+0.870,,1979,brazil
15,18,elio-de-angelis,shadow,ford,goodyear,1:14.440,+2.640,+0.000,,1979,south-africa
21,18,elio-de-angelis,shadow,ford,goodyear,1:21.961,+3.136,+0.326,,1979,united-states-west
22,18,elio-de-angelis,shadow,ford,goodyear,1:17.850,+3.350,+0.280,,1979,spain
24,18,elio-de-angelis,shadow,ford,goodyear,1:25.480,+4.350,+0.300,,1979,belgium
21,18,elio-de-angelis,shadow,ford,goodyear,1:28.700,+2.250,+0.020,,1979,monaco
25,18,elio-de-angelis,shadow,ford,goodyear,1:12.230,+5.040,+0.260,,1979,france
12,18,elio-de-angelis,shadow,ford,goodyear,1:14.870,+2.990,+0.270,,1979,great-britain
21,18,elio-de-angelis,shadow,ford,goodyear,1:53.730,+5.250,+0.140,,1979,germany
22,18,elio-de-angelis,shadow,ford,goodyear,1:39.440,+5.370,+0.130,,1979,austria
22,18,elio-de-angelis,shadow,ford,goodyear,1:20.709,+5.248,+1.276,,1979,netherlands
24,18,elio-de-angelis,shadow,ford,goodyear,1:39.149,+4.569,+0.295,,1979,italy
23,18,elio-de-angelis,shadow,ford,goodyear,1:34.256,+4.364,+0.127,,1979,canada
20,18,elio-de-angelis,shadow,ford,goodyear,1:40.625,+5.010,+0.288,,1979,united-states
5,12,elio-de-angelis,lotus,ford,goodyear,1:45.460,+1.290,+0.440,,1980,argentina
7,12,elio-de-angelis,lotus,ford,goodyear,2:22.400,+1.000,+0.090,,1980,brazil
14,12,elio-de-angelis,lotus,ford,goodyear,1:12.740,+2.740,+0.040,,1980,south-africa
20,12,elio-de-angelis,lotus,ford,goodyear,1:20.830,+3.136,+0.022,,1980,united-states-west
8,12,elio-de-angelis,lotus,ford,goodyear,1:20.960,+1.840,+0.730,,1980,belgium
14,12,elio-de-angelis,lotus,ford,goodyear,1:26.930,+2.117,+0.047,,1980,monaco
14,12,elio-de-angelis,lotus,ford,goodyear,1:41.660,+2.780,+0.030,,1980,france
14,12,elio-de-angelis,lotus,ford,goodyear,1:13.859,+2.855,+0.110,,1980,great-britain
11,12,elio-de-angelis,lotus,ford,goodyear,1:48.590,+2.740,+0.010,,1980,germany
9,12,elio-de-angelis,lotus,ford,goodyear,1:33.760,+3.490,+0.120,,1980,austria
11,12,elio-de-angelis,lotus,ford,goodyear,1:18.740,+1.300,+0.140,,1980,netherlands
18,12,elio-de-angelis,lotus,ford,goodyear,1:36.919,+2.931,+0.035,,1980,italy
17,12,elio-de-angelis,lotus,ford,goodyear,1:30.316,+2.988,+0.022,,1980,canada
4,12,elio-de-angelis,lotus,ford,goodyear,1:34.185,+0.894,+0.074,,1980,united-states
13,11,elio-de-angelis,lotus,ford,michelin,1:20.928,+1.529,+0.003,,1981,united-states-west
10,11,elio-de-angelis,lotus,ford,michelin,1:37.734,+2.655,+0.137,,1981,brazil
10,11,elio-de-angelis,lotus,ford,michelin,1:45.065,+2.400,+0.057,,1981,argentina
14,11,elio-de-angelis,lotus,ford,michelin,1:24.960,+2.680,+0.300,,1981,belgium
6,11,elio-de-angelis,lotus,ford,michelin,1:26.259,+0.549,+0.219,,1981,monaco
10,11,elio-de-angelis,lotus,ford,michelin,1:15.399,+1.645,+0.044,,1981,spain
8,11,elio-de-angelis,lotus,ford,michelin,1:07.520,+1.570,+0.100,,1981,france
22,11,elio-de-angelis,lotus,ford,goodyear,1:15.971,+4.971,+0.012,,1981,great-britain
14,11,elio-de-angelis,lotus,ford,goodyear,1:50.740,+3.240,+0.090,,1981,germany
9,11,elio-de-angelis,lotus,ford,goodyear,1:35.294,+3.276,+0.257,,1981,austria
9,11,elio-de-angelis,lotus,ford,goodyear,1:19.738,+1.562,+0.426,,1981,netherlands
11,11,elio-de-angelis,lotus,ford,goodyear,1:36.158,+2.691,+0.212,,1981,italy
7,11,elio-de-angelis,lotus,ford,goodyear,1:30.231,+1.020,+0.049,,1981,canada
15,11,elio-de-angelis,lotus,ford,goodyear,1:19.562,+1.741,+0.345,,1981,caesars-palace
15,11,elio-de-angelis,lotus,ford,goodyear,1:10.685,+4.334,+0.000,,1982,south-africa
11,11,elio-de-angelis,lotus,ford,goodyear,1:31.790,+2.982,+0.561,,1982,brazil
16,11,elio-de-angelis,lotus,ford,goodyear,1:29.694,+2.378,+0.107,,1982,united-states-west
13,11,elio-de-angelis,lotus,ford,goodyear,1:17.762,+2.061,+0.618,,1982,belgium
15,11,elio-de-angelis,lotus,ford,goodyear,1:26.456,+3.175,+0.196,,1982,monaco
8,11,elio-de-angelis,lotus,ford,goodyear,1:50.443,+1.906,+0.149,,1982,detroit
10,11,elio-de-angelis,lotus,ford,goodyear,1:29.228,+1.719,+0.045,,1982,canada
15,11,elio-de-angelis,lotus,ford,goodyear,1:17.620,+3.387,+0.383,,1982,netherlands
7,11,elio-de-angelis,lotus,ford,goodyear,1:10.650,+1.110,+0.009,,1982,great-britain
13,11,elio-de-angelis,lotus,ford,goodyear,1:39.118,+4.712,+0.174,,1982,france
14,11,elio-de-angelis,lotus,ford,goodyear,1:54.476,+6.529,+0.265,,1982,germany
7,11,elio-de-angelis,lotus,ford,goodyear,1:31.626,+4.014,+1.326,,1982,austria
15,11,elio-de-angelis,lotus,ford,goodyear,1:04.967,+3.587,+0.039,,1982,switzerland
17,11,elio-de-angelis,lotus,ford,goodyear,1:33.629,+5.156,+0.001,,1982,italy
21,11,elio-de-angelis,lotus,ford,goodyear,1:19.302,+2.946,+0.080,,1982,caesars-palace
13,11,elio-de-angelis,lotus,ford,pirelli,1:36.454,+1.928,+0.061,,1983,brazil
5,11,elio-de-angelis,lotus,renault,pirelli,1:27.982,+1.865,+0.164,,1983,united-states-west
5,11,elio-de-angelis,lotus,renault,pirelli,1:39.312,+2.640,+0.197,,1983,france
9,11,elio-de-angelis,lotus,renault,pirelli,1:34.332,+3.094,+0.804,,1983,san-marino
19,11,elio-de-angelis,lotus,renault,pirelli,1:29.518,+4.678,+0.296,,1983,monaco
13,11,elio-de-angelis,lotus,renault,pirelli,2:09.310,+4.695,+0.085,,1983,belgium
4,11,elio-de-angelis,lotus,renault,pirelli,1:46.258,+1.524,+0.267,,1983,detroit
