position,driverNumber,driverId,constructorId,engineManufacturerId,tyreManufacturerId,time,gap,interval,laps,year,race
5,1,nelson-piquet,lotus,honda,goodyear,1:30.087,+1.991,+1.061,,1988,brazil
3,1,nelson-piquet,lotus,honda,goodyear,1:30.500,+3.352,+2.581,,1988,san-marino
11,1,nelson-piquet,lotus,honda,goodyear,1:28.403,+4.405,+0.045,,1988,monaco
4,1,nelson-piquet,lotus,honda,goodyear,1:18.946,+1.478,+0.826,,1988,mexico
6,1,nelson-piquet,lotus,honda,goodyear,1:23.995,+2.314,+0.027,,1988,canada
8,1,nelson-piquet,lotus,honda,goodyear,1:43.314,+2.708,+0.197,,1988,detroit
7,1,nelson-piquet,lotus,honda,goodyear,1:09.734,+2.145,+0.016,,1988,france
7,1,nelson-piquet,lotus,honda,goodyear,1:12.040,+1.907,+0.034,,1988,great-britain
5,1,nelson-piquet,lotus,honda,goodyear,1:47.681,+3.085,+0.527,,1988,germany
13,1,nelson-piquet,lotus,honda,goodyear,1:30.405,+2.770,+0.220,,1988,hungary
9,1,nelson-piquet,lotus,honda,goodyear,1:57.821,+4.103,+0.205,,1988,belgium
7,1,nelson-piquet,lotus,honda,goodyear,1:28.044,+2.070,+0.229,,1988,italy
8,1,nelson-piquet,lotus,honda,goodyear,1:19.551,+2.140,+0.179,,1988,portugal
9,1,nelson-piquet,lotus,honda,goodyear,1:25.648,+1.581,+0.182,,1988,spain
5,1,nelson-piquet,lotus,honda,goodyear,1:43.693,+1.840,+0.088,,1988,japan
5,1,nelson-piquet,lotus,honda,goodyear,1:19.535,+1.787,+0.018,,1988,australia
9,11,nelson-piquet,lotus,judd,goodyear,1:27.437,+2.135,+0.029,,1989,brazil
8,11,nelson-piquet,lotus,judd,goodyear,1:29.057,+3.047,+0.203,,1989,san-marino
19,11,nelson-piquet,lotus,judd,goodyear,1:27.046,+4.738,+0.035,,1989,monaco
26,11,nelson-piquet,lotus,judd,goodyear,1:21.831,+3.955,+0.001,,1989,mexico
22,11,nelson-piquet,lotus,judd,goodyear,1:33.745,+3.637,+0.004,,1989,united-states
19,11,nelson-piquet,lotus,judd,goodyear,1:24.029,+3.056,+0.050,,1989,canada
