position,driverNumber,driverId,constructorId,engineManufacturerId,tyreManufacturerId,time,gap,interval,laps,year,race
2,5,nigel-mansell,williams,judd,goodyear,1:28.632,+0.536,+0.536,,1988,brazil
11,5,nigel-mansell,williams,judd,goodyear,1:31.635,+4.487,+0.115,,1988,san-marino
5,5,nigel-mansell,williams,judd,goodyear,1:27.665,+3.667,+0.368,,1988,monaco
14,5,nigel-mansell,williams,judd,goodyear,1:22.363,+4.895,+0.015,,1988,mexico
9,5,nigel-mansell,williams,judd,goodyear,1:24.844,+3.163,+0.165,,1988,canada
6,5,nigel-mansell,williams,judd,goodyear,1:42.897,+2.291,+0.207,,1988,detroit
9,5,nigel-mansell,williams,judd,goodyear,1:10.337,+2.748,+0.087,,1988,france
11,5,nigel-mansell,williams,judd,goodyear,1:12.885,+2.752,+0.023,,1988,great-britain
11,5,nigel-mansell,williams,judd,goodyear,1:49.880,+5.284,+0.369,,1988,germany
2,5,nigel-mansell,williams,judd,goodyear,1:27.743,+0.108,+0.108,,1988,hungary
6,5,nigel-mansell,williams,judd,goodyear,1:19.131,+1.720,+0.086,,1988,portugal
3,5,nigel-mansell,williams,judd,goodyear,1:24.269,+0.202,+0.135,,1988,spain
8,5,nigel-mansell,williams,judd,goodyear,1:43.893,+2.040,+0.077,,1988,japan
3,5,nigel-mansell,williams,judd,goodyear,1:19.427,+1.679,+1.547,,1988,australia
6,27,nigel-mansell,ferrari,ferrari,goodyear,1:26.772,+1.470,+0.152,,1989,brazil
3,27,nigel-mansell,ferrari,ferrari,goodyear,1:27.652,+1.642,+1.417,,1989,san-marino
5,27,nigel-mansell,ferrari,ferrari,goodyear,1:24.735,+2.427,+0.155,,1989,monaco
3,27,nigel-mansell,ferrari,ferrari,goodyear,1:19.137,+1.261,+0.364,,1989,mexico
4,27,nigel-mansell,ferrari,ferrari,goodyear,1:31.927,+1.819,+0.128,,1989,united-states
5,27,nigel-mansell,ferrari,ferrari,goodyear,1:22.165,+1.192,+0.219,,1989,canada
3,27,nigel-mansell,ferrari,ferrari,goodyear,1:07.455,+0.252,+0.227,,1989,france
3,27,nigel-mansell,ferrari,ferrari,goodyear,1:09.488,+0.389,+0.222,,1989,great-britain
3,27,nigel-mansell,ferrari,ferrari,goodyear,1:44.020,+1.720,+0.725,,1989,germany
12,27,nigel-mansell,ferrari,ferrari,goodyear,1:21.951,+2.225,+0.152,,1989,hungary
6,27,nigel-mansell,ferrari,ferrari,goodyear,1:52.898,+2.031,+0.023,,1989,belgium
3,27,nigel-mansell,ferrari,ferrari,goodyear,1:24.739,+1.019,+0.005,,1989,italy
3,27,nigel-mansell,ferrari,ferrari,goodyear,1:16.193,+0.725,+0.134,,1989,portugal
4,27,nigel-mansell,ferrari,ferrari,goodyear,1:40.406,+2.365,+0.219,,1989,japan
7,27,nigel-mansell,ferrari,ferrari,goodyear,1:18.313,+1.648,+0.486,,1989,australia
17,2,nigel-mansell,ferrari,ferrari,goodyear,1:31.363,+2.699,+0.116,,1990,united-states
5,2,nigel-mansell,ferrari,ferrari,goodyear,1:18.509,+1.232,+0.221,,1990,brazil
5,2,nigel-mansell,ferrari,ferrari,goodyear,1:25.095,+1.875,+0.056,,1990,san-marino
7,2,nigel-mansell,ferrari,ferrari,goodyear,1:22.733,+1.419,+0.042,,1990,monaco
7,2,nigel-mansell,ferrari,ferrari,goodyear,1:21.641,+1.242,+0.042,,1990,canada
4,2,nigel-mansell,ferrari,ferrari,goodyear,1:17.732,+0.505,+0.062,,1990,mexico
1,2,nigel-mansell,ferrari,ferrari,goodyear,1:04.402,,,,1990,france
1,2,nigel-mansell,ferrari,ferrari,goodyear,1:07.428,,,,1990,great-britain
4,2,nigel-mansell,ferrari,ferrari,goodyear,1:42.057,+1.859,+0.325,,1990,germany
5,2,nigel-mansell,ferrari,ferrari,goodyear,1:18.719,+0.800,+0.557,,1990,hungary
5,2,nigel-mansell,ferrari,ferrari,goodyear,1:52.267,+1.902,+0.365,,1990,belgium
4,2,nigel-mansell,ferrari,ferrari,goodyear,1:23.141,+0.608,+0.205,,1990,italy
1,2,nigel-mansell,ferrari,ferrari,goodyear,1:13.557,,,,1990,portugal
3,2,nigel-mansell,ferrari,ferrari,goodyear,1:19.106,+0.719,+0.282,,1990,spain
3,2,nigel-mansell,ferrari,ferrari,goodyear,1:37.719,+0.723,+0.491,,1990,japan
3,2,nigel-mansell,ferrari,ferrari,goodyear,1:16.352,+0.681,+0.108,,1990,australia
4,5,nigel-mansell,williams,renault,goodyear,1:23.218,+1.784,+0.385,,1991,united-states
3,5,nigel-mansell,williams,renault,goodyear,1:16.843,+0.451,+0.068,,1991,brazil
4,5,nigel-mansell,williams,renault,goodyear,1:22.366,+0.489,+0.171,,1991,san-marino
5,5,nigel-mansell,williams,renault,goodyear,1:21.205,+0.861,+0.046,,1991,monaco
2,5,nigel-mansell,williams,renault,goodyear,1:20.225,+0.388,+0.388,,1991,canada
2,5,nigel-mansell,williams,renault,goodyear,1:16.978,+0.282,+0.282,,1991,mexico
4,5,nigel-mansell,williams,renault,goodyear,1:14.895,+0.336,+0.038,,1991,france
1,5,nigel-mansell,williams,renault,goodyear,1:20.939,,,,1991,great-britain
1,5,nigel-mansell,williams,renault,goodyear,1:37.087,,,,1991,germany
3,5,nigel-mansell,williams,renault,goodyear,1:17.389,+1.242,+0.010,,1991,hungary
4,5,nigel-mansell,williams,renault,goodyear,1:48.828,+1.017,+0.007,,1991,belgium
2,5,nigel-mansell,williams,renault,goodyear,1:21.247,+0.133,+0.133,,1991,italy
