position,driverNumber,driverId,constructorId,engineManufacturerId,tyreManufacturerId,laps,time,timePenalty,gap,interval,reasonRetired,points,gridPosition,year,race,grandSlam
DNF,19,ayrton-senna,toleman,hart,michelin,19.0,,,,,Engine,,13.0,1984,netherlands,
DNF,19,ayrton-senna,toleman,hart,michelin,35.0,,,,,Oil pressure,,10.0,1984,austria,
7,19,ayrton-senna,toleman,hart,michelin,68.0,,,+2 laps,,,,9.0,1984,canada,
DNF,19,ayrton-senna,toleman,hart,michelin,4.0,,,,,Rear wing,,9.0,1984,germany,
DNF,19,ayrton-senna,toleman,hart,pirelli,8.0,,,,,Turbo,,16.0,1984,brazil,
DNF,19,ayrton-senna,toleman,hart,michelin,0.0,,,,,Collision,,12.0,1984,europe,
2,19,ayrton-senna,toleman,hart,michelin,31.0,1:01:15.186,,+7.446,+7.446,,3.0,13.0,1984,monaco,
6,19,ayrton-senna,toleman,hart,pirelli,72.0,,,+3 laps,,,1.0,13.0,1984,south-africa,
6,19,ayrton-senna,toleman,hart,pirelli,68.0,,,+2 laps,,,1.0,19.0,1984,belgium,
3,19,ayrton-senna,toleman,hart,michelin,71.0,1:30:31.860,,+1:03.328,+21.205,,4.0,7.0,1984,great-britain,
3,19,ayrton-senna,toleman,hart,michelin,70.0,1:41:31.795,,+20.042,+6.617,,4.0,3.0,1984,portugal,
DNQ,19,ayrton-senna,toleman,hart,pirelli,,,,,,,,,1984,san-marino,
DNF,19,ayrton-senna,toleman,hart,michelin,21.0,,,,,Accident,,7.0,1984,detroit,
DNF,19,ayrton-senna,toleman,hart,michelin,35.0,,,,,Turbo,,13.0,1984,france,
DNF,19,ayrton-senna,toleman,hart,michelin,47.0,,,,,Driveshaft,,6.0,1984,dallas,
DNF,12,ayrton-senna,lotus,renault,goodyear,13.0,,,,,Engine,,1.0,1985,monaco,
10,12,ayrton-senna,lotus,renault,goodyear,60.0,,,,,Fuel injection,,4.0,1985,great-britain,
DNF,12,ayrton-senna,lotus,renault,goodyear,48.0,,,,,Electrical,,4.0,1985,brazil,
3,12,ayrton-senna,lotus,renault,goodyear,70.0,1:33:17.754,,+48.491,+48.259,,4.0,4.0,1985,netherlands,
1,12,ayrton-senna,lotus,renault,goodyear,67.0,2:00:28.006,,,,,9.0,1.0,1985,portugal,True
1,12,ayrton-senna,lotus,renault,goodyear,43.0,1:34:19.893,,,,,9.0,2.0,1985,belgium,
DNF,12,ayrton-senna,lotus,renault,goodyear,8.0,,,,,Engine,,4.0,1985,south-africa,
DNF,12,ayrton-senna,lotus,renault,goodyear,51.0,,,,,Accident,,1.0,1985,detroit,
DNF,12,ayrton-senna,lotus,renault,goodyear,27.0,,,,,Driveshaft,,5.0,1985,germany,
7,12,ayrton-senna,lotus,renault,goodyear,57.0,,,,,Out of fuel,,1.0,1985,san-marino,
2,12,ayrton-senna,lotus,renault,goodyear,52.0,1:20:42.585,,+30.002,+30.002,,6.0,14.0,1985,austria,
16,12,ayrton-senna,lotus,renault,goodyear,65.0,,,+5 laps,,,,2.0,1985,canada,
2,12,ayrton-senna,lotus,renault,goodyear,75.0,1:33:19.505,,+21.396,+21.396,,6.0,1.0,1985,europe,
DNF,12,ayrton-senna,lotus,renault,goodyear,62.0,,,,,Engine,,1.0,1985,australia,
DNF,12,ayrton-senna,lotus,renault,goodyear,26.0,,,,,Engine,,2.0,1985,france,
3,12,ayrton-senna,lotus,renault,goodyear,51.0,1:18:59.841,,+1:00.390,+8.755,,4.0,1.0,1985,italy,
2,12,ayrton-senna,lotus,renault,goodyear,43.0,1:28:17.752,,+19.827,+19.827,,6.0,4.0,1986,belgium,
3,12,ayrton-senna,lotus,renault,goodyear,78.0,1:56:34.706,,+53.646,+28.624,,4.0,3.0,1986,monaco,
2,12,ayrton-senna,lotus,renault,goodyear,44.0,1:22:23.700,,+15.437,+15.437,,6.0,3.0,1986,germany,
DNF,12,ayrton-senna,lotus,renault,goodyear,13.0,,,,,Engine,,8.0,1986,austria,
DNF,12,ayrton-senna,lotus,renault,goodyear,3.0,,,,,Accident,,1.0,1986,france,
2,12,ayrton-senna,lotus,renault,goodyear,61.0,1:40:07.410,,+34.827,+34.827,,6.0,1.0,1986,brazil,
5,12,ayrton-senna,lotus,renault,goodyear,68.0,,,+1 lap,,,2.0,2.0,1986,canada,
1,12,ayrton-senna,lotus,renault,goodyear,72.0,1:48:47.735,,,,,9.0,1.0,1986,spain,
DNF,12,ayrton-senna,lotus,renault,goodyear,27.0,,,,,Gearbox,,3.0,1986,great-britain,
2,12,ayrton-senna,lotus,renault,goodyear,76.0,2:00:52.181,,+17.673,+17.673,,6.0,1.0,1986,hungary,
4,12,ayrton-senna,lotus,renault,goodyear,69.0,,,,,Out of fuel,3.0,1.0,1986,portugal,
DNF,12,ayrton-senna,lotus,renault,goodyear,11.0,,,,,Wheel bearing,,1.0,1986,san-marino,
3,12,ayrton-senna,lotus,renault,goodyear,68.0,1:34:11.213,,+52.513,+27.075,,4.0,1.0,1986,mexico,
1,12,ayrton-senna,lotus,renault,goodyear,63.0,1:51:12.847,,,,,9.0,1.0,1986,detroit,
DNF,12,ayrton-senna,lotus,renault,goodyear,0.0,,,,,Transmission,,5.0,1986,italy,
DNF,12,ayrton-senna,lotus,renault,goodyear,43.0,,,,,Engine,,3.0,1986,australia,
1,12,ayrton-senna,lotus,honda,goodyear,63.0,1:50:16.358,,,,,9.0,2.0,1987,detroit,
4,12,ayrton-senna,lotus,honda,goodyear,79.0,,,+1 lap,,,3.0,3.0,1987,france,
1,12,ayrton-senna,lotus,honda,goodyear,78.0,1:57:54.085,,,,,9.0,2.0,1987,monaco,
DNF,12,ayrton-senna,lotus,honda,goodyear,54.0,,,,,Clutch,,7.0,1987,mexico,
DNF,12,ayrton-senna,lotus,honda,goodyear,50.0,,,,,Engine,,3.0,1987,brazil,
2,12,ayrton-senna,lotus,honda,goodyear,51.0,1:33:15.456,,+17.384,+17.384,,6.0,7.0,1987,japan,
2,12,ayrton-senna,lotus,honda,goodyear,50.0,1:14:49.513,,+1.806,+1.806,,6.0,4.0,1987,italy,
3,12,ayrton-senna,lotus,honda,goodyear,64.0,,,+1 lap,,,4.0,3.0,1987,great-britain,
2,12,ayrton-senna,lotus,honda,goodyear,76.0,2:00:4.520,,+37.727,+37.727,,6.0,6.0,1987,hungary,
DNF,12,ayrton-senna,lotus,honda,goodyear,0.0,,,,,Collision,,3.0,1987,belgium,
