driver,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14,gap15,gap16,gap17,gap18,gap19,gap20,gap21,gap22,gap23,gap24,gap25,gap26,gap27,gap28,gap29,gap30,gap31
PRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAN,0.943,2.315,3.016,2.468,2.797,3.886,2.733,2.003,1.847,0.847,21:42.147,23:39.676,25:34.788,27:33.424,29:28.583,,,,,,,,,,,,,,,,
ARN,3.891,6.883,10.546,12.053,15.824,20.234,23.131,26.577,29.567,31.316,30.398,31.913,35.720,38.168,41.619,34.132,35.582,37.802,40.751,42.149,43.240,43.843,43.501,43.864,43.359,42.052,41.674,38.295,35.884,33.048,29.077
ALB,6.294,9.266,12.631,15.972,18.059,21.651,23.838,27.626,,,2:03.946,2:03.941,2:12.270,2:12.592,2:17.132,2:08.806,2:09.666,2:11.626,2:12.796,2:12.506,2:13.499,2:12.792,2:11.652,2:11.365,2:10.634,2:10.877,2:08.140,2:05.222,2:04.835,2:04.430,
LAU,9.860,11.025,13.592,14.153,16.468,19.115,21.326,23.919,25.054,26.454,27.897,29.575,32.422,32.246,35.595,28.921,30.988,33.560,38.955,39.764,41.386,42.238,41.653,,,,,,,,
ROS,11.377,15.907,19.441,20.460,23.219,26.223,28.765,32.170,35.168,36.412,34.857,38.421,42.311,42.549,45.606,37.129,38.173,39.316,41.998,43.874,48.465,51.750,51.737,51.041,50.175,49.185,45.294,41.235,39.529,36.624,35.246
WIN,13.504,19.194,22.543,23.417,25.861,28.010,32.193,35.099,38.198,40.992,39.612,41.224,45.158,46.435,53.142,46.871,49.336,51.018,52.357,52.435,51.883,52.937,,,,,,,,,
LAF,14.639,20.020,25.488,28.232,32.316,35.233,41.424,49.760,,,1:39.429,1:43.473,2:00.820,2:07.056,2:16.228,2:12.306,2:17.663,2:22.653,2:27.036,2:31.103,2:36.231,2:40.936,2:47.914,2:50.386,2:50.691,2:54.621,2:55.148,2:55.069,3:00.777,3:03.491,
SEN,15.459,21.144,23.687,24.438,26.705,29.108,30.389,32.991,35.927,38.194,36.092,35.477,36.645,34.605,36.627,30.102,32.000,33.769,34.355,33.841,35.128,34.210,31.266,28.727,27.736,26.141,21.704,18.139,15.369,11.779,7.446
FAB,21.409,33.895,,,1:05.492,1:12.906,1:20.635,1:31.067,1:40.919,,,,,,,,,,,,,,,,,,,,,,
BEL,24.865,29.020,32.534,32.874,34.975,36.548,38.265,39.834,41.100,41.773,40.498,41.831,45.762,46.869,49.068,38.841,39.112,40.216,42.383,44.480,46.921,46.130,43.892,44.278,43.839,42.402,38.908,33.795,29.337,25.688,21.141
GHI,25.900,34.388,42.204,43.009,45.637,47.847,49.640,51.928,55.353,55.321,54.773,54.980,57.662,57.586,1:03.729,56.039,57.167,1:00.085,1:05.271,1:09.144,1:11.429,1:50.706,1:58.187,2:04.215,2:08.849,2:16.658,2:23.003,2:28.543,2:36.884,2:40.828,
EDA,26.427,34.552,42.911,44.028,47.049,48.961,50.566,53.226,56.212,56.818,56.069,56.395,58.781,58.669,1:05.676,59.319,58.659,1:00.906,1:03.562,1:02.325,1:01.533,1:00.474,58.713,59.214,57.852,56.030,54.101,49.946,48.014,46.708,44.439
COC,29.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT,29.641,36.630,46.345,49.603,54.738,1:21.983,1:29.188,1:36.898,1:43.966,1:52.867,1:57.651,2:04.918,2:11.853,2:15.707,2:25.689,2:20.350,2:25.101,2:29.567,2:35.711,2:42.945,2:46.969,2:54.583,2:55.601,2:57.255,,,,,,,
PIQ,30.812,37.723,47.388,54.068,58.168,1:04.061,1:08.014,1:11.611,1:14.460,1:16.754,1:15.390,1:16.895,1:21.700,1:23.291,,,,,,,,,,,,,,,,,
HES,35.296,39.737,47.405,50.745,55.191,1:01.186,1:04.426,1:19.111,1:22.794,1:25.564,1:25.800,1:27.915,,,,,,,,,,,,,,,,,,,
