driver,lap1,lap2,lap3,lap4,lap5,lap6,lap7,lap8,lap9,lap10
HIL,1:36.963,1:32.003,1:30.908,1:29.359,1:28.919,1:28.602,1:28.283,1:29.483,1:28.443,1:28.167
PRO,1:36.541,1:31.429,1:30.722,1:29.161,1:28.706,1:28.615,1:28.257,1:29.128,1:28.922,1:28.165
KAT,1:48.545,1:35.090,1:35.516,1:35.104,1:33.528,2:21.605,1:40.105,1:42.623,1:41.148,1:42.734
ADC,1:49.982,1:35.065,1:35.173,1:34.598,1:34.159,1:34.722,1:35.618,1:33.874,1:34.091,1:33.739
PAT,1:43.792,1:33.484,1:32.223,1:31.854,1:31.206,1:31.400,1:31.430,1:30.969,1:31.072,1:32.787
SEN,1:35.843,1:27.882,1:28.203,1:28.912,1:28.714,1:29.198,1:28.739,1:28.911,1:29.268,1:27.843
WAR,1:45.535,1:34.289,1:34.150,1:34.067,1:33.683,1:34.467,1:34.831,1:34.339,1:31.408,1:31.044
SUZ,1:52.158,1:36.062,1:46.262,1:38.319,1:37.702,1:32.397,1:33.500,1:34.033,1:32.779,1:32.946
ZAN,1:44.758,1:34.170,1:33.390,1:35.353,1:33.277,1:33.831,1:35.771,1:35.900,1:32.570,1:55.236
HER,1:43.151,1:33.107,1:31.557,1:31.050,1:30.859,1:31.387,1:31.948,1:31.693,1:31.141,1:28.898
BAR,1:40.426,1:30.670,1:30.391,1:30.160,1:29.707,1:29.846,1:30.606,1:29.169,1:31.515,1:29.393
BOU,1:51.142,1:35.927,1:33.689,1:34.470,1:34.971,1:32.644,1:31.273,1:32.771,1:33.841,1:31.120
ALL,1:46.853,1:34.505,1:33.135,1:34.067,1:33.857,1:33.038,1:34.204,1:30.459,1:30.403,1:29.844
